Sample_ID,Num_of_formulas,Comp.mol.R2,Comp.mol.slope,C.mol.R2,C.mol.slope,Comp.R2_C.R2_Ratio,Comp.Slope_C.Slope_Ratio
S19S_0011_ICR.1_p05,3663,0.753148781107064,1.06793484908909,0.388644790546437,0.695325032942416,1.9378846685379,1.53587861574593
S19S_0011_ICR.2_p05,3898,0.74850024627072,1.05490381239623,0.389024172225223,0.696197714316345,1.92404559847603,1.51523596056636
S19S_0011_ICR.3_p05,3796,0.762691009260181,1.1109206483329,0.367065985649997,0.681038158490095,2.07780355324838,1.63121645165358
S19S_0012_ICR.1_p05,3069,0.770913716680907,0.876578187521017,0.396173366581511,0.696062836334002,1.94589990572295,1.25933772321152
S19S_0012_ICR.2_p05,3340,0.778155071299768,1.03353077798421,0.360845993687966,0.636913001996682,2.15647418818972,1.62271891882275
S19S_0012_ICR.3_p05,3476,0.762771059906302,0.975930350175427,0.348973466125651,0.638106361980631,2.18575660887541,1.52941642384855
S19S_0013_ICR.1_p05,3789,0.759557108478589,1.02481385934299,0.362761363192145,0.61034466590168,2.09382030598521,1.67907399965395
S19S_0013_ICR.2_p05,3477,0.778056110579856,1.04599540485809,0.342289503873219,0.586942095109834,2.2730936875822,1.78211004726515
S19S_0013_ICR.3_p05,3584,0.774259176725406,1.03117050832901,0.339796313798621,0.59616178600075,2.27859792847626,1.72968233211733
S19S_0014_ICR.1_p05,1766,0.73575470717101,1.18954812796805,0.449679217825698,0.671839283989973,1.63617680783327,1.77058435896077
S19S_0014_ICR.2_p05,2066,0.758142286093492,1.24379385053008,0.457888315830916,0.716521670882781,1.65573625681563,1.73587750527863
S19S_0014_ICR.3_p05,2044,0.757388320121489,1.23675501260993,0.432728895196706,0.676664882696852,1.75026056389695,1.82772158602473
S19S_0015_ICR.1_p05,3121,0.783485083351353,1.19711273512395,0.373064452283873,0.662909407464579,2.10013331089284,1.80584665362124
S19S_0015_ICR.2_p05,3473,0.771528505420052,1.23756968623292,0.378188073897866,0.651345267249786,2.0400656675081,1.9000210003189
S19S_0015_ICR.3_p05,3759,0.751927103637031,1.11071106373778,0.330726307591148,0.65164247464889,2.27356302289258,1.70447923048024
S19S_0016_ICR.1_p05,2523,0.705420592770606,0.850879387617517,0.308406604588,0.567142824877646,2.28730702350871,1.50029119702093
S19S_0016_ICR.2_p05,2249,0.721832658223456,1.11171535006573,0.340650643458845,0.601516425422503,2.11898222441098,1.84818785170308
S19S_0016_ICR.3_p05,2642,0.716623124017016,0.859998594516606,0.333581364892541,0.582956329739957,2.14827085514164,1.4752367384024
S19S_0017_ICR.1_p05,3085,0.752520708728503,1.10753996574477,0.372783627814418,0.661931974453854,2.01865278563985,1.67319302962903
S19S_0017_ICR.2_p05,3451,0.772757844636644,1.09443692292249,0.365566213880063,0.646539449756496,2.11386560162306,1.69276124347042
S19S_0017_ICR.3_p05,3006,0.776552892179564,1.14752605936045,0.369663063848777,0.642273966110161,2.10070458242276,1.78666133131672
S19S_0018_ICR.1_p05,2050,0.735357108578688,1.09033572195094,0.385221460067009,0.554801358752419,1.90892041282117,1.96527226321647
S19S_0018_ICR.2_p05,934,0.641414516097098,1.06376220420106,0.441294109423934,0.546712947379298,1.45348533415595,1.94574174491435
S19S_0018_ICR.3_p05,2642,0.774185257396012,0.990199095759667,0.296848116001275,0.517134178259372,2.60801809297212,1.91478176726317
S19S_0019_ICR.1_p05,1130,0.670935978242587,0.994644513427563,0.451455836918335,0.580936631260241,1.48616082322124,1.71213943123169
S19S_0019_ICR.2_p05,582,0.605367410277159,0.994279792989982,0.442807975398749,0.626245058412891,1.36711044947198,1.58768485217242
S19S_0019_ICR.3_p05,2209,0.761329687713875,1.14952071061668,0.431338305110742,0.640245730041994,1.76504075500183,1.79543674667113
S19S_0020_ICR.1_p05,3585,0.756297255638151,1.17997626261746,0.392032337119327,0.731521702329396,1.92917059137382,1.61304341191798
S19S_0020_ICR.2_p05,3682,0.766896263062051,1.05163048755333,0.352966776702639,0.698635445359397,2.17271514964178,1.50526357421265
S19S_0020_ICR.3_p05,3579,0.751539985899895,1.0861396708776,0.364221956914344,0.713148588023186,2.0634120805535,1.523020151927
S19S_0021_ICR.1_p05,3576,0.748867865548013,1.02755913797558,0.441795438442779,0.762479884454722,1.6950556759653,1.34765409412791
S19S_0021_ICR.2_p05,3751,0.752223467942128,1.08882421150595,0.453461896153643,0.796869661160338,1.65884603386225,1.36637679231067
S19S_0021_ICR.3_p05,3658,0.746830964536355,1.09304912311994,0.419829603440492,0.782672571537956,1.77889066996728,1.3965598934585
S19S_0022_ICR.1_p05,2245,0.761628059166896,1.17476637492225,0.380909623574225,0.594482963165812,1.99949807521333,1.97611445190329
S19S_0022_ICR.2_p05,2737,0.783118273430393,1.12459225145527,0.348122970380384,0.581817860047919,2.24954495985916,1.93289400116154
S19S_0022_ICR.3_p05,2810,0.768994286763799,0.901063200719782,0.410919626440002,0.706427692319309,1.87139829125704,1.27552077943244
S19S_0023_ICR.1_p05,3317,0.77523967863796,1.06634862961017,0.381221176294414,0.702098118701481,2.03356929479502,1.51880285846993
S19S_0023_ICR.2_p05,3000,0.795789168233143,1.2138133960645,0.35965024708745,0.662012300237907,2.21267516059747,1.83352091136115
S19S_0023_ICR.3_p05,3445,0.784598929918983,1.10889027279349,0.332830011448815,0.635093261439747,2.35735631682855,1.74602745788808
S19S_0024_ICR.1_p05,1240,0.718668335204102,1.21280107362193,0.408293264972394,0.581665436016287,1.7601768063764,2.08504923711501
S19S_0024_ICR.2_p05,1177,0.687397262994466,1.12873678223533,0.443949396645298,0.617583468980482,1.54836850368258,1.82766676721232
S19S_0024_ICR.3_p05,630,0.619382156915168,1.08461547077401,0.448328599677668,0.610570630232279,1.38153612631557,1.77639640210239
S19S_0025_ICR.1_p05,3123,0.759147069558739,1.07138164185188,0.404056322047493,0.701326799741891,1.87881497735731,1.52764965241052
S19S_0025_ICR.2_p05,3029,0.758383989302083,1.08522154185797,0.420732115275906,0.72537787703915,1.80253411081955,1.49607752898066
S19S_0025_ICR.3_p05,2736,0.795402159408341,1.18277934108377,0.413492031698641,0.695450576242069,1.92362149311753,1.70073817103586
