Sample_ID,Num_of_formulas,Comp.mol.R2,Comp.mol.slope,C.mol.R2,C.mol.slope,Comp.R2_C.R2_Ratio,Comp.Slope_C.Slope_Ratio
ECA2_0003_09,703,0.725149505702536,1.00895422813412,0.481862488135451,0.615154425398614,1.50488889165968,1.64016413842805
ECA2_0003_10,466,0.700831597863131,1.02539619045383,0.445421714683863,0.581228284414472,1.57341138691576,1.76418838853792
ECA2_0005_01,867,0.736607628027125,1.03225311142575,0.581893024988942,0.753995325266758,1.26588152185038,1.36904444475242
ECA2_0005_02,794,0.747346532499808,1.09627751380388,0.48768064474054,0.628862821500148,1.53245067352923,1.7432697184876
ECA2_0005_03,502,0.718179955347979,1.07500795451822,0.574793269240413,0.72956033520988,1.2494578377667,1.4735010973547
ECA2_0005_04,190,0.750815141157277,0.927766563589481,0.495971411083543,0.687957237108125,1.51382745936299,1.34858173378539
ECA2_0005_05,875,0.724113260198679,0.984686997706024,0.556174289422554,0.705834987193229,1.30195385505951,1.39506685779584
ECA2_0005_06,699,0.737319805920578,0.963331688779764,0.594269371371178,0.781701604533433,1.24071648555492,1.23235219576495
ECA2_0005_07,479,0.67688836867695,0.997461404799157,0.473489814796618,0.634640373232217,1.42957324006579,1.57169547805334
ECA2_0005_08,374,0.696795661211077,0.994530277355599,0.55102990295606,0.774701147778785,1.26453329932376,1.28375991207333
ECA2_0005_09,607,0.717427874965464,1.0036775602816,0.491661182051946,0.676370666156632,1.4591916164121,1.48391645365822
ECA2_0005_10,586,0.698370274958594,1.01312044138895,0.36087721935304,0.579932022178706,1.93520188448191,1.74696413138704
ECA2_0006_01,1743,0.730898326801501,0.97088519461698,0.379025027050938,0.636774964966184,1.92836428899792,1.52469121437357
ECA2_0006_02,1682,0.776976615017629,1.06639857947988,0.377200872990105,0.583728273403846,2.05984840082279,1.8268749828777
ECA2_0006_03,830,0.791281504871661,0.998346374137458,0.335003873968098,0.579622533747275,2.36200702845309,1.72240780164829
ECA2_0006_04,1779,0.791884023548591,1.0798484112443,0.361457069972525,0.596159246372875,2.19081071953796,1.81134221739286
ECA2_0006_05,2085,0.814594426944768,1.03190455223805,0.41976027437871,0.618436709830522,1.94061819725665,1.66856937150583
ECA2_0006_06,1879,0.809297508354772,0.997310099665115,0.370632451870695,0.597755924711952,2.18355814303362,1.66842361310881
ECA2_0006_07,1889,0.772798998514411,0.959996678606976,0.436993387000603,0.647104061152451,1.76844552229653,1.48352751317506
ECA2_0006_09,1997,0.803188484760899,1.01243732273268,0.372707268400005,0.586579280233451,2.15501159451198,1.7260025317119
ECA2_0006_10,1847,0.787983007671345,1.10360526014948,0.42759823639307,0.63366495410517,1.84281164094183,1.74162268719427
ECA2_0007_01,499,0.690792909612095,1.03308907977577,0.436724350209548,0.621043240922549,1.58175954530733,1.66347367091724
ECA2_0007_02,616,0.76148139315998,1.08765622524242,0.440934862500511,0.622526781500433,1.72697025778745,1.74716374871603
ECA2_0007_03,583,0.697879483755329,0.947227604373806,0.556659861863473,0.744987416011861,1.2536910446877,1.27146792551825
ECA2_0007_04,758,0.718404250628437,0.990768814199505,0.552180806782061,0.721001642360315,1.30103082505724,1.37415611281559
ECA2_0007_05,519,0.72467608768643,0.936992389388954,0.562486392797236,0.74624053106107,1.28834421057304,1.2556171239542
ECA2_0007_06,534,0.658097360540448,0.938231167782757,0.467804695629725,0.637100308546132,1.40677801374902,1.47265847339457
ECA2_0007_07,281,0.651263652824478,0.871629771579166,0.4263424212812,0.686175288847843,1.52756005575839,1.27027275063012
ECA2_0007_08,641,0.711227959441166,0.906252265413206,0.522624340731478,0.673924410392995,1.36087798445383,1.34473874434186
ECA2_0007_09,379,0.683554608323646,0.89535076241569,0.552059649252016,0.732703173375616,1.23818976672139,1.22198291880018
ECA2_0007_10,346,0.745195168201749,0.991184700914729,0.500817044023731,0.644051467004868,1.48795888058162,1.53898368638797
ECA2_0008_01,372,0.686804091639596,1.0587209640766,0.473764030476898,0.616873859656774,1.44967546596614,1.71626816001843
ECA2_0008_02,259,0.62433265757919,0.884881147157839,0.586615387981692,0.730257995767494,1.06429642039781,1.21173770405326
ECA2_0008_03,523,0.709644254412525,1.00792294001675,0.378727279769143,0.553939807693618,1.87376059851061,1.81955318252598
ECA2_0008_04,631,0.697032119667517,0.84231392435305,0.46256701307178,0.594245346858044,1.50687813866951,1.41745144292104
ECA2_0008_05,344,0.67401491739836,0.901572671033903,0.481433480545155,0.618236508720348,1.40001670975424,1.4582973640622
ECA2_0008_06,415,0.619355151677625,0.908374889430526,0.521468078857938,0.722742957098443,1.18771441012088,1.25684364061786
ECA2_0008_07,322,0.636196121100308,1.00916112447519,0.558674156850164,0.689059839457782,1.13876060544346,1.46454787623277
ECA2_0008_08,334,0.628427209375385,0.826266244850309,0.568683304208561,0.66146729224994,1.10505654856523,1.24914149880309
ECA2_0008_09,429,0.691075688634269,0.952302541791288,0.568533795504167,0.647829735960303,1.21554020904146,1.4699889321685
ECA2_0008_10,432,0.700601056318756,0.980266358335092,0.578034922006175,0.686169802959201,1.21203932434946,1.42860608862057
ECA2_0009_01,203,0.704736251959137,0.945780734836172,0.619026500809362,0.762019487904057,1.13845893679465,1.24115032469518
ECA2_0009_02,184,0.717287983368889,0.965423488126425,0.617927155507997,0.820182019225792,1.16079699196778,1.17708443430366
ECA2_0009_03,160,0.66344467263205,1.0239156491489,0.600677905831533,0.904339554969888,1.10449321706552,1.13222477499947
ECA2_0009_04,288,0.699489772367143,1.08624210158272,0.597087858122761,0.833984621078484,1.17150225523984,1.30247258058311
ECA2_0009_05,299,0.684752830193418,0.967590094113376,0.367087731343842,0.577217182417657,1.86536561079462,1.67630161330377
ECA2_0009_06,269,0.614781968994531,1.05242585776434,0.472138623359496,0.757861530692414,1.30212174682948,1.38867829430899
ECA2_0009_07,199,0.685745171518695,1.05523297397543,0.661898418585455,0.775691951782006,1.0360278137304,1.36037633438278
ECA2_0009_08,230,0.701690905494275,1.07543667382181,0.611761100778101,0.76931308879945,1.14700150859836,1.39791807715124
ECA2_0009_09,186,0.68092347980802,0.957847649068975,0.609361393765431,0.76440750660673,1.11743784029439,1.25305892575668
ECA2_0009_10,222,0.710708562022776,0.994460107456869,0.620166733613901,0.828424644021287,1.14599594512473,1.20042313399759
ECA2_0010_01,949,0.656465080548383,1.00649486743863,0.42054854100989,0.614891049145556,1.56097338721464,1.6368670008081
ECA2_0010_02,1508,0.773310352111446,1.11740224163201,0.440307460898797,0.552934441583239,1.75629627200251,2.02085845553861
ECA2_0010_03,1101,0.758698173730134,1.16972637689795,0.432016227797289,0.58249170376151,1.75617980277845,2.00814255266522
ECA2_0010_04,1332,0.75091203400298,1.11587118939437,0.395418530820383,0.519877197739676,1.89903096459604,2.14641302647233
ECA2_0010_05,1476,0.777096934444886,1.19336742122517,0.433481030233926,0.57614480528661,1.79268959941691,2.07129771938413
ECA2_0010_06,1298,0.743012957064497,1.20656913614841,0.354873036058401,0.530678414159593,2.09374306179244,2.27363522607037
ECA2_0010_07,916,0.715493319940408,1.01704977547,0.443674213369841,0.634848201052336,1.61265473263821,1.60203616200553
ECA2_0010_08,912,0.717488150132771,0.690050152078377,0.528090126473609,0.695788008120263,1.3586471591959,0.991753442176465
ECA2_0010_09,1078,0.599204435095606,0.939262868421776,0.401548098612985,0.607306428919336,1.49223576743449,1.54660452070816
ECA2_0010_10,937,0.757324841441144,1.12883903210468,0.461635247523793,0.574276381021098,1.64052646651968,1.96567205166533
ECA2_0011_01,845,0.655534213605675,1.05694998301818,0.504556167517569,0.723421244582434,1.29922941350796,1.46104360486159
ECA2_0011_02,788,0.729584014642006,0.956690799886817,0.50164272351842,0.651156924781185,1.45438970892442,1.4692169636502
ECA2_0011_03,850,0.804627815523151,0.845048724201151,0.506412045383551,0.624316202339918,1.58887969363709,1.35355885532673
ECA2_0011_04,974,0.80026396749691,0.889961229910995,0.463335855816577,0.60128441283188,1.7271790159355,1.48010028352395
ECA2_0011_05,881,0.792135152164078,0.820828506068123,0.478010229359043,0.575099069049656,1.65715104721972,1.42728192452916
ECA2_0011_06,1132,0.814572815337997,1.01395222515737,0.442989212589648,0.619401683883591,1.8388095966855,1.63698654934224
ECA2_0011_07,900,0.777237764358038,0.892999685833992,0.41953673195505,0.538503090575654,1.85260956945556,1.65830001993003
ECA2_0011_08,787,0.690954953853325,1.10094093415243,0.437339800364544,0.633014223311386,1.57990412324097,1.73920410254489
ECA2_0011_09,942,0.805723103170399,0.947950404082321,0.372082718549245,0.548857521459591,2.1654408092693,1.72713384989498
ECA2_0011_10,561,0.692290242508012,0.924455789916233,0.515918901382031,0.641128144726156,1.34185865385727,1.44192046086371
ECA2_0013_01,743,0.747518689989327,0.963046534360309,0.50884178130653,0.615997729890792,1.46905917998706,1.56339299258626
ECA2_0013_02,864,0.755752013591103,0.90340801612425,0.553575342659567,0.677041978943819,1.36521979096867,1.33434564505669
ECA2_0013_03,713,0.732928253528841,1.06735826864875,0.530451158577194,0.682898221064471,1.38170732908708,1.56298293907546
ECA2_0013_04,603,0.734288718069284,0.934791143827611,0.532413192332942,0.658124392482375,1.37917078059572,1.4203867148909
ECA2_0013_05,470,0.681132527192262,1.09364332715387,0.604443383557949,0.811290092430871,1.12687564413874,1.34802993079452
ECA2_0013_06,838,0.741037137887391,1.09132161359445,0.572836664521849,0.738354457845354,1.29362728292879,1.4780456757573
ECA2_0013_07,888,0.718341159418066,0.977481169009314,0.578470824708451,0.747951724813119,1.24179323958146,1.30687735128032
ECA2_0013_08,732,0.718399336848185,0.89383144620663,0.530670325910005,0.670264232932041,1.35375825964314,1.33355086291358
ECA2_0013_09,1035,0.741203922939102,0.992552158709943,0.460889181095456,0.654513288008243,1.60820421338029,1.51647365591368
ECA2_0013_10,750,0.726529188033167,1.00688844951673,0.571983847681641,0.6286299972216,1.27019179121566,1.60171874388264
ECA2_0016_01,1340,0.804495476899737,1.05667679015741,0.382622363330274,0.596420795707451,2.10258352360159,1.77169675799789
ECA2_0016_02,892,0.726060091687539,1.12007499987438,0.467072246307345,0.681692827710115,1.55449204577609,1.64307875093367
ECA2_0016_03,949,0.779603164817119,1.01456759629095,0.325613818578355,0.557287752386819,2.39425700119517,1.82054529629556
ECA2_0016_04,947,0.789481124203373,1.05756592692529,0.396992922627772,0.604177592777373,1.98865289330008,1.75042229233248
ECA2_0016_05,1062,0.804992954640978,1.07951611003601,0.421912856007334,0.607281563647408,1.90796024150301,1.7776204229753
ECA2_0016_06,915,0.767624492452797,1.05491949006242,0.389528683507667,0.608729441848637,1.97064946678744,1.73298581855801
ECA2_0016_07,842,0.79251619816309,1.02631422441064,0.380546206238074,0.611289547685534,2.08257548011734,1.67893304947954
ECA2_0016_08,1040,0.781432774921109,1.12434583463506,0.375194545870921,0.586350954961026,2.08274023042421,1.91753049111994
ECA2_0016_09,963,0.781934589533293,1.15392223544847,0.434066746827284,0.629431919156429,1.80141555474745,1.83327568928339
ECA2_0016_10,992,0.743949382647567,1.07983298552145,0.342714261462207,0.595268128987342,2.17075700168844,1.8140278858175
ECA2_0017_01,334,0.68269539688018,0.850089494774622,0.231670525418374,0.46618907687478,2.9468375212915,1.82348651425602
ECA2_0017_02,416,0.718124003930161,0.84883740288957,0.426017201531211,0.598690759547505,1.68566903249222,1.41782278973393
ECA2_0017_03,402,0.670547103430624,0.957292277292984,0.408315201665222,0.613799711891698,1.64222909334736,1.55961669376263
ECA2_0017_04,386,0.739091129081986,0.883877889889092,0.259716001556632,0.470467173082583,2.8457666245136,1.8787238312458
ECA2_0017_05,295,0.729138055894024,0.879312181065419,0.34000467791906,0.512998333726959,2.14449418859937,1.71406439993123
ECA2_0017_06,207,0.684541620906985,0.757660802225704,0.353873450889611,0.597849909291122,1.93442491711684,1.26730938727426
ECA2_0017_07,483,0.685801474946243,0.950063161856549,0.293595700893503,0.51924963845486,2.33587028985484,1.8296847826099
ECA2_0017_08,271,0.704705853804254,0.835548550877183,0.526703421757832,0.718595497226929,1.33795571605051,1.1627522773265
ECA2_0017_09,235,0.703672700899745,0.931587210875803,0.46317031933897,0.598725268755193,1.51925257625319,1.55595105049209
ECA2_0017_10,138,0.729980974824387,0.759067827052957,0.521633456857046,0.709216266768811,1.39941364041846,1.07029105594443
ECA2_0018_01,1585,0.699974056202336,1.06530981683792,0.467536763530207,0.677551651367226,1.49715297448927,1.57229314501447
ECA2_0018_02,1507,0.763541246875099,1.01233056565452,0.451864645841291,0.629487262211662,1.68975655409713,1.60818276464843
ECA2_0018_03,1547,0.74975396936678,0.946038320214896,0.508038462629564,0.67781638596236,1.47578190337424,1.39571473898749
ECA2_0018_04,1597,0.775205036386602,0.929637164665592,0.43864157843852,0.611714614202743,1.76728580803075,1.51972364740248
ECA2_0018_05,1741,0.75246270673619,0.957576047028693,0.456124304942076,0.659051677469934,1.64968781225492,1.45296048817413
ECA2_0018_06,1508,0.77119834831114,0.979247905451923,0.47592759852518,0.630771053861652,1.62041106819809,1.552461704539
ECA2_0018_07,1568,0.775811919508625,1.06061441847203,0.447824616466514,0.638802783597625,1.73240123696201,1.66031589984445
ECA2_0018_09,1505,0.744107873362162,0.883678496970691,0.528638845656473,0.688814493141174,1.40759211979232,1.28289765353352
ECA2_0018_10,811,0.804308290391408,1.01676509325198,0.487224926604399,0.666474797930181,1.65079462579398,1.5255867084692
